09:01:52.697 -> === /flight_11.csv (14568 bytes) ===
09:01:52.697 -> t_ms,alt_m,vel_ms,accel_G,pitch_deg,roll_deg,yaw_deg,temp_C,pressure_hPa,phase
09:01:53.842 -> 27208,8.9,-0.7,0.93,-62.0,-168.9,0.0,29.0,1015.8,5
09:01:53.842 -> 27310,8.8,-0.8,0.92,-72.0,-148.7,0.0,29.0,1015.8,5
09:01:53.842 -> 27411,8.7,-0.8,0.99,-65.9,-119.7,0.0,29.0,1015.8,5
09:01:53.842 -> 27513,8.6,-0.9,1.06,-57.7,-106.6,0.0,29.0,1015.8,5
09:01:53.876 -> 27716,8.4,-1.0,1.03,-52.3,-95.6,0.0,29.0,1015.8,5
09:01:53.876 -> 27817,8.3,-1.0,1.12,-51.0,-110.1,0.0,29.0,1015.8,5
09:01:53.876 -> 27918,8.3,-1.0,1.16,-47.6,-86.7,0.0,29.0,1015.8,5
09:01:53.876 -> 28069,8.1,-1.1,1.08,-60.5,-127.3,0.0,29.0,1015.9,5
09:01:53.876 -> 28171,7.9,-1.3,1.01,-55.8,-138.4,0.0,29.0,1015.9,5
09:01:53.910 -> 28272,7.8,-1.3,0.99,-56.2,-141.4,0.0,29.0,1015.9,5
09:01:53.910 -> 28373,7.7,-1.4,1.09,-52.2,-142.0,0.0,29.0,1015.9,5
09:01:53.910 -> 28475,7.5,-1.5,1.02,-59.4,-155.1,0.0,29.0,1015.9,5
09:01:53.910 -> 28577,7.3,-1.5,0.94,-62.8,-161.8,0.0,29.0,1016.0,5
09:01:53.910 -> 28678,7.2,-1.5,1.09,-58.8,-137.1,0.0,29.0,1016.0,5
09:01:53.910 -> 28783,7.1,-1.4,1.05,-55.7,-115.9,0.0,29.0,1016.0,5
09:01:53.910 -> 28884,6.9,-1.4,0.90,-54.8,-127.2,0.0,29.0,1016.0,5
09:01:53.944 -> 28985,6.8,-1.4,1.09,-57.8,-118.7,0.0,29.0,1016.0,5
09:01:53.944 -> 29145,6.7,-1.2,1.26,-34.8,-54.7,0.0,29.0,1016.0,5
09:01:53.944 -> 29246,6.6,-1.1,1.04,-70.2,-143.6,0.0,29.1,1016.0,5
09:01:53.944 -> 29348,6.5,-1.1,1.10,-53.7,-36.3,0.0,29.1,1016.0,5
09:01:53.944 -> 29450,6.4,-1.0,1.04,-60.6,-61.8,0.0,29.1,1016.1,5
09:01:53.979 -> 29551,6.4,-1.0,1.24,-59.3,-21.4,0.0,29.1,1016.1,5
09:01:53.979 -> 29652,6.3,-1.0,1.21,-48.9,16.2,0.0,29.1,1016.1,5
09:01:53.979 -> 29753,6.2,-1.0,0.84,-76.2,3.1,0.0,29.1,1016.1,5
09:01:53.979 -> 29855,6.1,-1.0,1.02,-68.7,-14.2,0.0,29.1,1016.1,5
09:01:53.979 -> 29956,6.0,-1.0,1.24,-53.9,22.1,0.0,29.1,1016.1,5
09:01:53.979 -> 30058,5.9,-1.1,1.03,-41.0,37.7,0.0,29.1,1016.1,5
09:01:53.979 -> 30217,5.7,-1.1,0.92,-69.6,36.0,0.0,29.1,1016.2,5
09:01:54.010 -> 30319,5.6,-1.2,1.11,-45.6,62.0,0.0,29.1,1016.2,5
09:01:54.010 -> 30420,5.5,-1.3,1.01,-56.3,93.8,0.0,29.1,1016.2,5
09:01:54.010 -> 30525,5.3,-1.4,1.06,-48.0,99.4,0.0,29.1,1016.2,5
09:01:54.010 -> 30626,5.2,-1.4,0.82,-62.5,119.1,0.0,29.1,1016.2,5
09:01:54.010 -> 30727,5.1,-1.4,1.13,-56.1,107.9,0.0,29.1,1016.2,5
09:01:54.010 -> 30828,5.0,-1.4,0.98,-54.7,134.3,0.0,29.1,1016.2,5
09:01:54.044 -> 30930,4.8,-1.3,1.05,-36.5,135.8,0.0,29.1,1016.3,5
09:01:54.044 -> 31032,4.7,-1.3,1.04,-45.2,138.6,0.0,29.1,1016.3,5
09:01:54.044 -> 31133,4.6,-1.2,1.01,-41.1,152.0,0.0,29.1,1016.3,5
09:01:54.044 -> 31335,4.5,-1.1,1.15,-47.5,-173.0,0.0,29.1,1016.3,5
09:01:54.044 -> 31436,4.4,-1.0,0.95,-57.2,-165.3,0.0,29.1,1016.3,5
09:01:54.044 -> 31537,4.4,-0.9,0.93,-47.4,178.5,0.0,29.1,1016.3,5
09:01:54.079 -> 31638,4.3,-0.9,1.01,-54.9,-122.3,0.0,29.1,1016.3,5
09:01:54.079 -> 31740,4.2,-0.8,1.09,-52.7,-171.7,0.0,29.1,1016.3,5
09:01:54.079 -> 31842,4.2,-0.8,0.82,-40.3,-128.1,0.0,29.1,1016.3,5
09:01:54.079 -> 31943,4.1,-0.8,0.96,-41.4,-144.0,0.0,29.1,1016.3,5
09:01:54.079 -> 32048,4.0,-0.8,1.06,-41.6,-136.2,0.0,29.1,1016.4,5
09:01:54.079 -> 32149,3.9,-0.8,1.05,-47.0,-113.5,0.0,29.1,1016.4,5
09:01:54.113 -> 32250,3.8,-0.9,1.05,-56.9,-69.1,0.0,29.1,1016.4,5
09:01:54.113 -> 32390,3.7,-0.9,1.05,-63.1,-65.3,0.0,29.1,1016.4,5
09:01:54.113 -> 32491,3.6,-0.9,0.99,-70.1,-75.6,0.0,29.1,1016.4,5
09:01:54.113 -> 32593,3.5,-0.9,1.05,-61.1,-76.0,0.0,29.1,1016.4,5
09:01:54.113 -> 32695,3.4,-0.9,1.31,-39.1,-18.8,0.0,29.1,1016.4,5
09:01:54.113 -> 32796,3.4,-0.9,0.88,-68.3,-9.7,0.0,29.1,1016.4,5
09:01:54.113 -> 32897,3.3,-0.9,1.00,-44.5,-9.6,0.0,29.1,1016.4,5
09:01:54.147 -> 32998,3.2,-0.9,0.87,-54.4,3.4,0.0,29.1,1016.4,5
09:01:54.147 -> 33100,3.1,-0.9,1.05,-55.9,20.7,0.0,29.1,1016.5,5
09:01:54.147 -> 33202,3.0,-1.0,0.97,-58.7,32.6,0.0,29.1,1016.5,5
09:01:54.147 -> 33303,2.9,-1.0,0.86,-57.8,33.6,0.0,29.1,1016.5,5
09:01:54.147 -> 33452,2.7,-1.1,1.11,-57.5,22.9,0.0,29.1,1016.5,5
09:01:54.147 -> 33554,2.6,-1.2,0.88,-68.9,46.8,0.0,29.1,1016.5,5
